Base Character,Variant
"a","A"
"á","Á"
"e","E"
"é","É"
"i","I"
"í","Í"
"o","O"
"ii","Ii"
"íi","Íi"
"u","U"
"ú","Ú"
"ao","Ao"
"áo","Áo"
"v","V"
"v́","V́"
"p","P"
"t","T"
"ts","Ts"
"k","K"
"kw","Kw"
"s","S"
"s̲","S̲"
"z","Z"
"l","L"
"m","M"
"n","N"
"w","W"
"y","Y"
"h","H"
"c","C"
"cw","Cw"
"lh","Lh"
"q","Q"
"qw","Qw"
"x","X"
"xw","Xw"
"g","G"
"gw","Gw"
"r","R"
"p̓","P̓"
"t̓","T̓"
"ts̓","Ts̓"
"k̓","K̓"
"k̓w","K̓w"
"q̓","Q̓"
"q̓w","Q̓w"
"z̓","Z̓"
"l̓","L̓"
"m̓","M̓"
"n̓","N̓"
"w̓","W̓"
"y̓","Y̓"
"r̓","R̓"
"g̓","G̓"
"g̓w","G̓w"
