Confusable,Canonical Character
"z_","z̲"
"z̠","z̲"
"ẕ","z̲"
"ts̒","ts’"
"ts̔","ts’"
"ts̓","ts’"
"ts̕","ts’"
"tsˈ","ts’"
"ts'","ts’"
"ts՚","ts’"
"ts＇","ts’"
"tsʼ","ts’"
"s̠","s̲"
"s̱","s̲"
"t̲s̲̕","t̲s̲’"
"ṯs̠＇","t̲s̲’"
"t̲s̲՚","t̲s̲’"
"ṯs̠'","t̲s̲’"
"ṯs̠ˈ","t̲s̲’"
"t̲s̲ʼ","t̲s̲’"
"ṯs̠՚","t̲s̲’"
"ṯs̠ʼ","t̲s̲’"
"t̲s̲̒","t̲s̲’"
"t̲s̲̓","t̲s̲’"
"t̲s̲̔","t̲s̲’"
"ṯs̠̒","t̲s̲’"
"ṯs̠̓","t̲s̲’"
"t̲s̲'","t̲s̲’"
"ṯs̠̔","t̲s̲’"
"t̲s̲ˈ","t̲s̲’"
"t̲s̲＇","t̲s̲’"
"ṯs̠̕","t̲s̲’"
"ṯs̠’","t̲s̲’"
"ł","lh"
"ch＇","ch’"
"ch̕","ch’"
"chˈ","ch’"
"ch'","ch’"
"ch՚","ch’"
"chʼ","ch’"
"ch̒","ch’"
"ch̔","ch’"
"ch̓","ch’"
"ɂ","ʔ"
"Ɂ","ʔ"
"ॽ","ʔ"
"t̠s̠","t̲s̲"
"ṯs̠","t̲s̲"
"t̠s̱","t̲s̲"
"ṯs̱","t̲s̲"
"ḏẕ","d̲z̲"
"d̠ẕ","d̲z̲"
"d̲z_","d̲z̲"
"d̠z̠","d̲z̲"
"d_ẕ","d̲z̲"
"d̲ẕ","d̲z̲"
"d̲z̠","d̲z̲"
"d_z_","d̲z̲"
"tlˈ","tl’"
"tl՚","tl’"
"tlʼ","tl’"
"tl̓","tl’"
"tl̒","tl’"
"tl̕","tl’"
"tl＇","tl’"
"tl̔","tl’"
"tl'","tl’"
"t̔","t’"
"t̕","t’"
"t＇","t’"
"t'","t’"
"tˈ","t’"
"t՚","t’"
"tʼ","t’"
"t̒","t’"
"t̓","t’"
"kʼ","k’"
"k̓","k’"
"k̕","k’"
"k'","k’"
"k＇","k’"
"kˈ","k’"
"k՚","k’"
